age,lat,long
115,-6.683213835,-46.73269609
115,-7.233546001,-51.43553461
115,-10.83572018,-48.03348121
115,-11.08587117,-45.08169959
115,-14.93819633,-47.33305846
115,-16.13892106,-50.28484008
115,-19.24079327,-49.03408515
115,-19.19076307,-45.58200156
115,-23.99366197,-49.73450791
115,-27.09553418,-50.48496086
115,-29.24683265,-46.93281688
115,-26.29505103,-36.12629434
115,-26.24502084,-39.87855911
115,2.922583976,-38.77789478
115,-5.332398518,-31.57354642
115,-9.384844469,-31.62357662
115,-11.63620333,-29.67239894
115,-6.783274229,-50.98526283
115,-7.783878167,-46.03227334
115,-10.88575038,-48.68387377
115,-11.38605235,-45.33185058
115,-14.98822653,-50.53499106
115,-20.09130661,-51.13535342
115,-19.39088386,-45.38188078
115,-16.48913243,-47.58320944
115,-23.94363178,-49.33426633
115,-26.49517182,-50.48496086
115,-29.44695344,-45.83215255
115,-26.74532281,-36.22635474
115,-25.84477926,-40.72907246
115,1.571768659,-39.17813636
115,-6.383032653,-31.57354642
115,-9.735055848,-30.97318406
115,-11.83632412,-33.02442213


