age,lat,long,paleontology_weight,lithology_weight,palynomorphs_weight,geochemistry_weight,predicted_climate
115,-6.683213835,-46.73269609,0,0,0,0,
115,-7.233546001,-51.43553461,0,0,0,0,
115,-10.83572018,-48.03348121,0,0,0,0,
115,-11.08587117,-45.08169959,0,0,0,0,
115,-14.93819633,-47.33305846,0,0,0,0,
115,-16.13892106,-50.28484008,0,0,0,0,
115,-19.24079327,-49.03408515,0,0,0,0,
115,-19.19076307,-45.58200156,0,0,0,0,
115,-23.99366197,-49.73450791,0,0,0,0,
115,-27.09553418,-50.48496086,0,0,0,0,
115,-29.24683265,-46.93281688,0,0,0,0,
115,-26.29505103,-36.12629434,0,0,0,0,
115,-26.24502084,-39.87855911,0,0,0,0,
115,2.922583976,-38.77789478,0,0,0,0,
115,-5.332398518,-31.57354642,0,0,0,0,
115,-9.384844469,-31.62357662,0,0,0,0,
115,-11.63620333,-29.67239894,0,0,0,0,
115,-6.783274229,-50.98526283,0,0,0,0,
115,-7.783878167,-46.03227334,0,0,0,0,
115,-10.88575038,-48.68387377,0,0,0,0,
115,-11.38605235,-45.33185058,0,0,0,0,
115,-14.98822653,-50.53499106,0,0,0,0,
115,-20.09130661,-51.13535342,0,0,0,0,
115,-19.39088386,-45.38188078,0,0,0,0,
115,-16.48913243,-47.58320944,0,0,0,0,
115,-23.94363178,-49.33426633,0,0,0,0,
115,-26.49517182,-50.48496086,0,0,0,0,
115,-29.44695344,-45.83215255,0,0,0,0,
115,-26.74532281,-36.22635474,0,0,0,0,
115,-25.84477926,-40.72907246,0,0,0,0,
115,1.571768659,-39.17813636,0,0,0,0,
115,-6.383032653,-31.57354642,0,0,0,0,
115,-9.735055848,-30.97318406,0,0,0,0,
115,-11.83632412,-33.02442213,0,0,0,0,
